id,label,group
S2,"26.05.06 Эксплуатация судовых энергетических установок,",Специальность
UK01,УК-1,УК
UK02,УК-2,УК
UK03,УК-3,УК
UK04,УК-4,УК
UK05,УК-5,УК
UK06,УК-6,УК
UK07,УК-7,УК
UK08,УК-8,УК
UK09,УК-9,УК
UK10,УК-10,УК
OPK1,ОПК-1,ОПК
OPK2,ОПК-2,ОПК
OPK3,ОПК-3,ОПК
OPK4,ОПК-4,ОПК
OPK5,ОПК-5,ОПК
OPK6,ОПК-6,ОПК
PK0601,ПК-1,ПК (механик)
PK0602,ПК-2,ПК (механик)
PK0603,ПК-3,ПК (механик)
PK0604,ПК-4,ПК (механик)
PK0605,ПК-5,ПК (механик)
PK0606,ПК-6,ПК (механик)
PK0607,ПК-7,ПК (механик)
PK0608,ПК-8,ПК (механик)
PK0609,ПК-9,ПК (механик)
PK0610,ПК-10,ПК (механик)
D0601,Б1.В.01 Введение в специальность,Дисциплина (механик)
D0602,Б1.В.02 ЭДЭУ,Дисциплина (механик)
D0603,Б1.В.03 АСУСЭУ,Дисциплина (механик)
D0604,Б1.В.04 ВахтОбс,Дисциплина (механик)
D0605,Б1.В.05 УТЭС,Дисциплина (механик)
D0606,Б1.В.06 Техн обесп безоп судов,Дисциплина (механик)
D0607,Б1.В.07 Экспл ЭСТУ,Дисциплина (механик)
D0608,Б1.В.08 ЭСКПУ,Дисциплина (механик)
D0609,Б1.В.09 ЭСВМ,Дисциплина (механик)
D0610,Б1.В.10 Судов обору и проц пз окр сред,Дисциплина (механик)
D0611,Б1.В.11 Управл соц труд отношен,Дисциплина (механик)
D0612,Б1.В.12 2х топливные,Дисциплина (механик)
D0613,Б1.В.13 ОТНиД,Дисциплина (механик)
D0614,Б1.В.14 Тренажер морской подготовки,Дисциплина (механик)
D0615,Б1.В.ДВ.01.01 Ист трансп Ро,Дисциплина (механик)
D0616,Б1.В.ДВ.01.02 Культурология,Дисциплина (механик)
D0617,Б1.В.ДВ.02.01 Экспл суд сист гидр,Дисциплина (механик)
D0618,Б1.В.ДВ.02.02 Экспл техн комплексов,Дисциплина (механик)
D0619,Б1.В.ДВ.03.01 ТОВ,Дисциплина (механик)
D0620,Б1.В.ДВ.03.02 АППСТС,Дисциплина (механик)
D0621,Б1.В.ДВ.04.01 Применение ТиСМ,Дисциплина (механик)
D0622,Б1.В.ДВ.04.02 ДиагСАУ,Дисциплина (механик)
D0623,Б1.В.ДВ.05.01 Диагност суд автоматиз электроэнергетх сист,Дисциплина (механик)
D0624,Б1.В.ДВ.05.02 Диагност суд электрообор,Дисциплина (механик)
D0625,Б1.В.ДВ.06.01 КурсПодгЭГС,Дисциплина (механик)
D0626,Б1.В.ДВ.06.02 Конв о труде,Дисциплина (механик)
D0627,Б1.В.ДВ.07.01 Лидер и ПсихОсн,Дисциплина (механик)
D0628,Б1.В.ДВ.07.02 Управление ресурсами МО,Дисциплина (механик)
D0629,Б1.В.ДВ.08.01 Основы научных исследований,Дисциплина (механик)
D0630,Б1.В.ДВ.08.02 Измерение параметров рабочих процессов,Дисциплина (механик)
D0631,Б1.В.ДВ.09.01 ИнфСист,Дисциплина (механик)
D0632,Б1.В.ДВ.09.02 ИнфТехн,Дисциплина (механик)
D0633,Б1.О.01 История России,Дисциплина (механик)
D0634,Б1.О.02 Философия,Дисциплина (механик)
D0635,Б1.О.03 БЖД,Дисциплина (механик)
D0636,Б1.О.04 Ин яз,Дисциплина (механик)
D0637,Б1.О.05 ФКиС,Дисциплина (механик)
D0638,Б1.О.06 Формирование социальной КП,Дисциплина (механик)
D0639,Б1.О.07 Экономика,Дисциплина (механик)
D0640,Б1.О.08 ОРГ,Дисциплина (механик)
D0641,Б1.О.09 Русский язык в ПК,Дисциплина (механик)
D0642,Б1.О.10 Противодействие экстремизму,Дисциплина (механик)
D0643,Б1.О.11 Математика,Дисциплина (механик)
D0644,Б1.О.12 Информатика,Дисциплина (механик)
D0645,Б1.О.13 Физика,Дисциплина (механик)
D0646,Б1.О.14 Теорет мех,Дисциплина (механик)
D0647,Б1.О.15 Химия,Дисциплина (механик)
D0648,Б1.О.16 НГиИГ,Дисциплина (механик)
D0649,Б1.О.17 Мат и ТКМ,Дисциплина (механик)
D0650,Б1.О.18 Экология,Дисциплина (механик)
D0651,Б1.О.19 СМ,Дисциплина (механик)
D0652,Б1.О.20 ТММ,Дисциплина (механик)
D0653,Б1.О.21 ДМ и ОК,Дисциплина (механик)
D0654,Б1.О.22 Гидромеханика,Дисциплина (механик)
D0655,Б1.О.23 ТТД и ТП,Дисциплина (механик)
D0656,Б1.О.24 Метрол стандар и серт,Дисциплина (механик)
D0657,Б1.О.25 ОЭиЭ,Дисциплина (механик)
D0658,Б1.О.26 ТОЭ,Дисциплина (механик)
D0659,Б1.О.27 ТУС ,Дисциплина (механик)
D0660,Б1.О.28 СДВС,Дисциплина (механик)
D0661,Б1.О.29 СТМ,Дисциплина (механик)
D0662,Б1.О.30 СКПУ,Дисциплина (механик)
D0663,Б1.О.31 СВМ,Дисциплина (механик)
D0664,Б1.О.32 Электрооборудование судов,Дисциплина (механик)
D0665,Б1.О.33 СХУ,Дисциплина (механик)
D0666,Б1.О.34 ОАиТУТС,Дисциплина (механик)
D0667,Б1.О.35 Техн технич обс и рем судов,Дисциплина (механик)
D0668,ФТД 01 Компьютерная графика,Дисциплина (механик)
D0669,ФТД 02 ПОПиЭСТС,Дисциплина (механик)
D0670,ФТД 03 Техническая химия,Дисциплина (механик)
D0671,ФТД 04 Судостр материалы,Дисциплина (механик)
D0672,ФТД 05 ТермоОснПерСжижГаз,Дисциплина (механик)
AII1,A-II/1,ПДНВ
AII2,A-II/2,ПДНВ
AI6,A-I/6,ПДНВ
AIII1,A-III/1,ПДНВ
AIII2,A-III/2,ПДНВ
AIV2,A-IV/2,ПДНВ
AV1,A-V/1,ПДНВ
AV11,A-V/1-1,ПДНВ
AV12,A-V/1-2,ПДНВ
AVI1,A-VI/1,ПДНВ
AVI2,A-VI/2,ПДНВ
AVI3,A-VI/3,ПДНВ
AVI4,A-VI/4,ПДНВ
AVI6,A-VI/6,ПДНВ
AVI5,A-VI/5,ПДНВ
AVI14,A-VI/1-4,ПДНВ
AVI41,A-VI/4-1,ПДНВ
AVIII2,A-VIII/2,ПДНВ
